

PID 9589: 0.253205	PID 9591: 0.261317	PID 9601: 0.258433	PID 9599: 0.261987	PID 9598: 0.267636	PID 9593: 0.269484	PID 9608: 0.259982	PID 9603: 0.266022	PID 9595: 0.272368	PID 9594: 0.273651	PID 9605: 0.269522	PID 9604: 0.268248	PID 9597: 0.276168	PID 9592: 0.276696	PID 9602: 0.272704	PID 9607: 0.266799	PID 9590: 0.279832	PID 9600: 0.276537	PID 9596: 0.280602	PID 9606: 0.272408	

PID 9610: 0.254323	PID 9612: 0.265519	PID 9620: 0.264114	PID 9614: 0.271837	PID 9619: 0.272075	PID 9624: 0.268298	PID 9629: 0.265810	PID 9616: 0.277077	PID 9615: 0.277739	PID 9626: 0.273663	PID 9625: 0.274551	PID 9622: 0.275668	PID 9611: 0.281208	PID 9618: 0.280039	PID 9613: 0.280985	PID 9621: 0.277686	PID 9628: 0.273792	PID 9623: 0.275920	PID 9617: 0.282163	PID 9627: 0.276616	

PID 9631: 0.253023	PID 9633: 0.263454	PID 9643: 0.261364	PID 9641: 0.262351	PID 9640: 0.270248	PID 9635: 0.270160	PID 9645: 0.267125	PID 9650: 0.264255	PID 9637: 0.273733	PID 9647: 0.267248	PID 9636: 0.274183	PID 9646: 0.273305	PID 9632: 0.278322	PID 9642: 0.275075	PID 9634: 0.278362	PID 9644: 0.273066	PID 9639: 0.279056	PID 9638: 0.281869	PID 9649: 0.274354	PID 9648: 0.276318	

PID 9658: 0.251983	PID 9660: 0.264066	PID 9670: 0.260459	PID 9668: 0.263068	PID 9662: 0.270390	PID 9667: 0.271722	PID 9672: 0.262757	PID 9677: 0.263602	PID 9664: 0.275370	PID 9663: 0.276207	PID 9674: 0.270486	PID 9673: 0.272332	PID 9661: 0.279486	PID 9666: 0.279075	PID 9659: 0.278612	PID 9676: 0.274841	PID 9671: 0.275057	PID 9669: 0.275795	PID 9665: 0.280283	PID 9675: 0.274924	

PID 9679: 0.248979	PID 9681: 0.260333	PID 9691: 0.258010	PID 9689: 0.259695	PID 9683: 0.267847	PID 9688: 0.268808	PID 9693: 0.263407	PID 9698: 0.261143	PID 9684: 0.272529	PID 9694: 0.267449	PID 9685: 0.273408	PID 9695: 0.266433	PID 9682: 0.276103	PID 9680: 0.275300	PID 9690: 0.273847	PID 9692: 0.272284	PID 9687: 0.276385	PID 9697: 0.268967	PID 9686: 0.277500	PID 9696: 0.271428	

PID 9713: 0.254017	PID 9715: 0.263008	PID 9725: 0.259552	PID 9723: 0.263672	PID 9717: 0.270957	PID 9722: 0.270932	PID 9727: 0.267546	PID 9732: 0.263833	PID 9719: 0.273797	PID 9729: 0.268647	PID 9718: 0.277302	PID 9721: 0.278421	PID 9716: 0.279223	PID 9726: 0.274922	PID 9731: 0.271497	PID 9714: 0.279579	PID 9724: 0.277070	PID 9728: 0.277070	PID 9720: 0.282552	PID 9730: 0.275396	

PID 9739: 0.252334	PID 9741: 0.263070	PID 9751: 0.261129	PID 9749: 0.263405	PID 9743: 0.271808	PID 9748: 0.271968	PID 9753: 0.268388	PID 9758: 0.268487	PID 9745: 0.275284	PID 9755: 0.271642	PID 9744: 0.276585	PID 9754: 0.272754	PID 9742: 0.278578	PID 9740: 0.278199	PID 9752: 0.275637	PID 9750: 0.274796	PID 9747: 0.279159	PID 9757: 0.272629	PID 9746: 0.280397	PID 9756: 0.275001	

PID 9760: 0.259915	PID 9762: 0.264483	PID 9772: 0.261712	PID 9770: 0.267328	PID 9764: 0.272838	PID 9769: 0.271873	PID 9774: 0.269799	PID 9779: 0.265988	PID 9766: 0.276134	PID 9765: 0.276600	PID 9776: 0.271659	PID 9775: 0.271095	PID 9761: 0.280245	PID 9763: 0.280403	PID 9768: 0.279340	PID 9771: 0.277325	PID 9778: 0.273952	PID 9773: 0.274303	PID 9767: 0.281066	PID 9777: 0.273471	

PID 9791: 0.262432	PID 9790: 0.267117	PID 9787: 0.269811	PID 9781: 0.271322	PID 9785: 0.271868	PID 9795: 0.266535	PID 9800: 0.252391	PID 9793: 0.269805	PID 9789: 0.275441	PID 9797: 0.253856	PID 9786: 0.276472	PID 9796: 0.272140	PID 9783: 0.279326	PID 9784: 0.279951	PID 9799: 0.254387	PID 9794: 0.273330	PID 9782: 0.281168	PID 9792: 0.276396	PID 9788: 0.280576	PID 9798: 0.259727	

PID 9823: 0.252092	PID 9825: 0.263239	PID 9835: 0.258626	PID 9833: 0.260942	PID 9827: 0.270374	PID 9832: 0.270327	PID 9837: 0.265286	PID 9842: 0.265286	PID 9829: 0.273784	PID 9839: 0.269800	PID 9828: 0.275361	PID 9838: 0.271195	PID 9831: 0.277031	PID 9824: 0.278764	PID 9826: 0.278550	PID 9834: 0.275954	PID 9836: 0.275436	PID 9830: 0.282208	PID 9841: 0.275647	PID 9840: 0.275300	
